-339, 1, 1020
-339, 1, 1020
-319, -10, 999
-301, 28, 981
-244, 90, 954
-175, 119, 1052
-147, 151, 1082
-122, 155, 1080
-122, 155, 1080
-,-,-
-8, -6, 972
7, -5, 1017
7, -5, 1017
13, 0, 1035
6, 3, 1013
6, 3, 1013
-2, -21, 999
5, -31, 988
5, -31, 988
20, -12, 996
14, -15, 1009
5, -30, 1006
0, -19, 1006
0, -19, 1006
13, -12, 1007
-3, -6, 1002
-5, -11, 1002
-5, -11, 1002
7, -37, 1060
60, -29, 1014
105, 12, 1012
145, 3, 1005
145, 3, 1005
234, -78, 1012
316, -62, 1011
362, -50, 1011
361, -38, 1049
349, -36, 1039
376, -45, 1015
376, -45, 1015
371, -20, 993
315, 102, 1014
218, 114, 964
161, 91, 997
120, 13, 1072
120, 13, 1072
19, 24, 1069
-74, 23, 997
-126, -30, 957
-135, -105, 1015
-163, -22, 1030
-177, -63, 942
-177, -63, 942
-233, -53, 967
-232, -72, 968
-200, -93, 1027
-187, -81, 1051
-194, 30, 1026
-177, 15, 981
-160, -17, 1025
-164, -35, 990
-164, -35, 990
-169, -52, 987
-171, -33, 982
-172, -11, 992
-172, -22, 980
-171, -12, 986
-180, 12, 1056
-175, 61, 1017
-175, 61, 1017
-165, 33, 981
-156, 2, 979
-153, -11, 992
-133, -9, 1010
-137, -11, 1025
-,-,-
64, -23, 1005
36, -15, 1012
96, -19, 1008
96, -19, 1008
98, 0, 1012
133, 13, 1006
188, 17, 1008
226, 9, 1014
226, 9, 1014
258, 46, 1007
271, 43, 1005
261, 9, 1018
269, -19, 996
269, -19, 996
272, -31, 1014
247, -18, 1002
218, -4, 1010
164, 26, 1015
130, -24, 1005
110, -7, 997
110, -7, 997
61, -15, 1016
6, 34, 1016
-49, 22, 1006
-49, 22, 1006
-56, -8, 1013
-65, -9, 1008
-100, -2, 1014
-104, -23, 1006
-129, -43, 1013
-146, -81, 1014
-168, -86, 998
-168, -86, 998
-166, -103, 1025
-,-,-
-4, -16, 1009
-4, -18, 1008
-7, -16, 1009
-6, -16, 1009
-5, -16, 1009
-4, -16, 1010
-4, -16, 1010
-1, -18, 1010
75, -41, 1008
123, -43, 1008
182, -33, 1008
202, -43, 1010
202, -43, 1010
276, -53, 1001
311, -18, 1015
343, -15, 1004
337, -12, 1024
315, 0, 1006
293, 16, 1012
293, 16, 1012
253, 27, 999
181, 44, 1013
102, 42, 1010
54, 19, 1018
54, 19, 1018
-1, 16, 1003
-52, -8, 1006
-85, -11, 1025
-110, 43, 1015
-133, -1, 1002
-133, -1, 1002
-138, -39, 1005
-124, -83, 1019
-114, -85, 1005
-113, -33, 1017
-135, 5, 1006
-114, -16, 1010
